gml_id	Latitude	Longitude	X_coordina	Y_coordina	LOD	Year_of_co	Refurbishm	ALKIS_code	PrimaryUsa	PrimaryU00	SecondaryU	Secondar00	BuildingTy	Footprint_	Total_wall	Total_wa00	Total_outw	Total_shar	Total_roof	Gross_volu	Is_Gross_v	Heated_vol	Ridge_mean	Eaves_mean	Storey_num	Average_St	Number_of_	Number_o00	Attic_Heat	Basement_H	Basement_c	Surface_ar	Heated_are	Mean_Uvalu	Specific_d	Specific_s	Total_Year	January_He	February_H	March_Heat	April_Heat	May_Heatin	June_Heati	July_Heati	August_Hea	September_	October_He	November_H	December_H	PV_potenti
DEBW522AA0001aa83	4.879.192	921.152	3515613.86	5406071.59	LOD2	1975	MediumRefurbishment	2463	non-heated	58.4	none	0	EFH	72.2	91.2	0	281.7	0	72.2	182.5	FALSE	182.5	2.5	25.300.000.000.000.000	1	2.5	0	0	NO_ROOM	NO_ROOM	0	1.291	58.4	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26
DEBW522AA0001aa85	4.879.176	921.075	3515557.45	5406053.88	LOD2	1985	MediumRefurbishment	2112	industry	142	none	0	EFH	114.9	160	0	411.7	0	145.3	477.7	FALSE	443.7	5.3	2.96	2	2.5	0	0	HEATED	NOT_HEATED	0.30000000000000004	0.91	142	0.4	32,9	21.5	7724	958	536	201	16	0	0	0	0	0	33	386	930	7.1
DEBW522AA0001aa87	4.879.196	921.078	3515559.5	5406076.09	LOD2	1975	MediumRefurbishment	2723	non-heated	18.2	none	0	RH	22.8	40.6	0	125.8	27.8	22.8	62.5	FALSE	56.8	2.8	2.75	1	2.5	0	0	NO_ROOM	NOT_HEATED	0.30000000000000004	1.444	18.2	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09
DEBW522AA0001aa88	4.879.186	92.108	3515561.16	5406065.28	LOD2	2005	MediumRefurbishment	2112	industry	87.5	none	0	EFH	54.5	150.6	0	308.4	0	54.5	286.3	FALSE	273.3	5.2	5.24	2	2.5	0	0	NO_ROOM	NOT_HEATED	0.2	0.932	87.5	0.44	32,9	25.3	5087	677	392	159	15	0	0	0	0	0	28	286	656	2.17
DEBW522AA0001aa89	4.879.204	921.145	3515608.68	5406084.67	LOD2	1927	MediumRefurbishment	2463	non-heated	30.5	none	0	EFH	34.9	65	0	205.1	0	34.9	106.7	FALSE	95.2	3.1	3.08	1	2.8	0	0	NO_ROOM	NOT_HEATED	0.30000000000000004	1.336	30.5	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09
DEBW522AA0001aa6e	4.878.813	920.851	3515393.99	5405649.34	LOD2	1976	MediumRefurbishment	1010	residential	384.6	none	0	MFH	125.1	401.6	0	662.4	0	188.9	1270.1	FALSE	1201.8	13	7.26	5	2.5	5	9	HEATED	NOT_HEATED	0.5	0.582	384.6	0.49	15,8	51.2	25800	4891	3377	2040	429	20	0	0	0	59	1014	3062	4817	8.14
DEBW522AA0001a5cc	4.878.762	920.887	3515420.33	5405593.54	LOD2	1950	MediumRefurbishment	1010	residential	629	none	0	GMH	158.7	398.4	0	563.6	361.5	184.5	2330.2	FALSE	2171.5	16.2	13.16	5	3	10	20	HEATED	NOT_HEATED	1	0.332	629	0.48	15,8	36.3	32781	5564	3919	2552	649	26	0	0	0	66	1146	3432	5464	9.25
DEBW522AA0001a3e1	4.878.825	921.194	3515645.88	5405663.41	LOD2	1986	MediumRefurbishment	1123	residential	415.7	retail	123.6	MFH	154.5	312.2	0	484.4	223	239	1749.2	FALSE	1685.3	13.9	9.14	5	2.7	7	16	HEATED	NOT_HEATED	0.4	0.41200000000000003	539.3	0.44	28,9	43.2	38914	5466	4027	2717	732	33	0	0	0	100	1337	3585	5309	10.27
DEBW522AA0001a3e3	487.883	921.202	3515651.55	5405669.01	LOD2	1986	MediumRefurbishment	1123	residential	-0.1	retail	19.6	RH	24.5	25.7	0	79.2	79.4	24.5	83.3	FALSE	60.8	3.4	3.42	1	2.5	1	1	NO_ROOM	NOT_HEATED	0.9	1.009	19.5	0.4	73,3	92.7	3231	425	302	200	59	5	0	0	0	15	109	277	412	1.09
DEBW522AA0001a3cd	4.879.333	920.211	3514921.67	5406226.26	LOD2	1983	MediumRefurbishment	1010	residential	731.4	none	0	GMH	134.8	682.6	0	870.6	51.8	235	2420.5	FALSE	2285.7	20.8	15.29	7	2.8	12	16	HEATED	NOT_HEATED	1	0.453	731.4	0.48	15,8	41.3	41794	7521	5246	3143	581	18	0	0	0	68	1522	4724	7384	10.46
DEBW522AA0001a219	4.878.857	921.269	3515700.85	5405700.02	LOD2	1926	MediumRefurbishment	1010	residential	90.8	none	0	RH	41.7	52.9	0	120.4	229	51.5	325.3	FALSE	283.6	9.3	6.26	3	2.8	1	5	HEATED	NOT_HEATED	1	0.48	90.8	0.5	15,8	46.1	5619	1048	723	417	71	2	0	0	0	9	212	671	1028	1.82
DEBW522AA0001a0cb	4.879.118	919.921	3514709.5	5405987.45	LOD2	2011	MediumRefurbishment	1123	residential	994.5	retail	134.7	GMH	168.4	887.4	0	1121.2	273.8	168.4	3615.1	FALSE	3528.7	21.5	21.47	8	2.6	18	23	NO_ROOM	NOT_HEATED	0.5	0.34500000000000003	1129.2	0.41000000000000003	22,7	31.7	61371	8862	6248	3931	868	31	0	0	0	77	1709	5398	8660	7.6
DEBW522AA0001a0c2	4.879.093	919.936	3514720.93	5405959.28	LOD2	1975	MediumRefurbishment	2463	non-heated	118.3	none	0	RH	147.7	117.2	0	359.9	154.8	147.7	454.4	FALSE	369.5	3.1	3.07	1	2.5	0	0	NO_ROOM	NOT_HEATED	0.6000000000000001	0.967	118.3	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52
DEBW522AA00019e17	4.879.184	920.229	3514935.61	5406060.81	LOD2	1984	MediumRefurbishment	1123	residential	832.5	retail	126.4	GMH	158	725.9	0	974.4	242.8	250.8	3154.7	FALSE	2996.7	22.3	17.57	8	2.7	15	24	HEATED	NOT_HEATED	1	0.373	958.9	0.46	23,4	37.1	58011	8743	6222	3871	797	26	0	0	0	86	1806	5505	8537	10.64
DEBW522AA00019e18	4.879.189	92.026	3514958.18	5406067.02	LOD2	1969	MediumRefurbishment	2463	non-heated	32.1	none	0	EFH	34.6	45.9	0	162.4	0	34.6	67.9	FALSE	67.9	2	19.500.000.000.000.000	1	2	0	0	NO_ROOM	NO_ROOM	0	1.697	32.1	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09
DEBW522AA00019a46	4.879.357	919.961	3514738	5406253.22	LOD2	1990	MediumRefurbishment	2120	industry	245.5	none	0	RH	153.4	175.7	0	379.6	205.7	153.4	899.2	FALSE	767.3	5.9	5.86	2	2.5	0	0	NO_ROOM	NOT_HEATED	0.9	0.5700000000000001	245.5	0.41000000000000003	32,9	12.9	11236	1050	562	171	9	0	0	0	0	0	20	360	996	6.52
DEBW522AA0001976f	4.878.931	920.269	3514965.43	5405779.97	LOD2	2014	MediumRefurbishment	1123	residential	915.4	retail	162	GMH	202.5	756.7	0	885.1	206.3	259.1	3430.1	FALSE	3366.7	18.5	14.74	7	2.6	17	35	HEATED	NOT_HEATED	0.30000000000000004	0.359	1077.4	0.4	24,4	33.7	62619	8888	6285	4068	945	30	0	0	0	97	1813	5485	8681	10.88
DEBW522AA00019770	4.878.941	920.262	3514960.33	5405790.36	LOD2	1954	MediumRefurbishment	2463	non-heated	38.2	none	0	EFH	42.2	54.2	0	188.4	30.1	42.2	141.5	FALSE	101.4	3.4	3.35	1	2.4	0	0	NO_ROOM	NOT_HEATED	1	1.131	38.2	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09
DEBW522AA00019636	4.878.833	92.094	3515458.95	5405671.78	LOD2	1976	MediumRefurbishment	1010	residential	91.9	none	0	RH	41.6	117.3	0	243.7	107.6	55.7	328.8	FALSE	287.2	9.7	6.1	3	2.9	1	2	HEATED	NOT_HEATED	1	0.707	91.9	0.5700000000000001	15,8	50.3	6075	1266	749	374	68	3	0	0	0	8	166	691	1294	1.77
DEBW522AA00019463	487.904	920.731	3515305.21	5405902.14	LOD2	1982	MediumRefurbishment	3010	office and administration	2286.5	none	0	GMH	473.7	1165.3	0	1659.9	114.1	641.2	7323	FALSE	7145.3	18.7	12.88	7	2.6	0	0	HEATED	NOT_HEATED	0.4	0.316	2286.5	0.46	14,6	55.1	159486	28190	21142	15353	5741	662	22	2	5	1289	7946	18486	27240	31.55
DEBW522AA00019464	4.879.011	920.733	3515306.36	5405870.2	LOD2	1990	MediumRefurbishment	3010	office and administration	1086.9	none	0	RH	474.9	500.5	0	1171.7	113.8	484.3	3210.7	FALSE	3396.7	7.4	6.14	2	2.6	0	0	NOT_HEATED	NOT_HEATED	1	0.484	1086.9	0.42	14,6	47.3	67311	11837	8743	6102	2042	196	6	1	1	406	3069	7609	11420	27.12
DEBW522AA00019369	4.879.559	920.743	3515311.98	5406478.97	LOD2	1958	MediumRefurbishment	1010	residential	261.2	none	0	MFH	90.9	330	0	606.4	0	108.4	907.2	FALSE	816.4	11.4	8.47	4	2.6	3	7	HEATED	NOT_HEATED	1	0.625	261.2	0.5	15,8	53.8	18189	3530	2409	1398	273	12	0	0	0	38	698	2201	3492	5.42
DEBW522AA00019353	4.879.538	921.194	3515643.59	5406456.9	LOD2	2005	MediumRefurbishment	1010	residential	1042.3	none	0	MFH	345.8	1214.4	0	1779.9	311.1	351	3602.9	FALSE	3257.1	11.8	11.84	4	2.7	13	32	NO_ROOM	NOT_HEATED	1	0.558	1042.3	0.42	15,8	48.7	67221	11911	8601	5862	1711	99	1	0	0	249	2933	7684	11662	10.88
DEBW522AA00019260	4.879.111	921.332	3515746.29	5405982.14	LOD2	1974	MediumRefurbishment	1010	residential	477.6	none	0	MFH	133	325.8	0	533.6	160.7	210.3	1625.6	FALSE	1492.6	15	9.69	5	2.8	6	14	HEATED	NOT_HEATED	1	0.435	477.6	0.48	15,8	39.2	26271	4737	3239	1876	328	10	0	0	0	35	883	2929	4669	9.53
DEBW522AA00018da3	4.878.837	92.094	3515459.21	5405676.84	LOD2	1950	MediumRefurbishment	1010	residential	87.1	none	0	RH	40	52.5	0	121.3	212.2	53.5	312.1	FALSE	272.2	9.6	6	3	2.9	1	2	HEATED	NOT_HEATED	1	0.5	87.1	0.48	15,8	45.2	5320	1003	680	380	60	2	0	0	0	8	191	634	983	1.77
DEBW522AA00018d70	4.878.844	920.984	3515491.62	5405684	LOD2	1950	MediumRefurbishment	1010	residential	99.6	none	0	RH	47.6	115.1	0	230.1	95.4	66.1	359	FALSE	311.4	9.4	5.72	3	2.8	1	1	HEATED	NOT_HEATED	1	0.6910000000000001	99.6	0.52	15,8	50.3	6586	1344	827	433	77	4	0	0	0	9	196	765	1355	2.69
DEBW522AA00018b9e	4.878.863	919.622	3514490.4	5405702.64	LOD2	2002	MediumRefurbishment	1010	residential	821.7	none	0	GMH	183.9	377.3	0	581.5	504.3	215.8	2747.5	FALSE	2567.8	16.7	13.08	6	2.6	13	25	HEATED	NOT_HEATED	1	0.294	821.7	0.43	15,8	30.9	38420	6280	4447	2786	529	10	0	0	0	46	1272	3934	6098	10.95
DEBW522AA00018b9f	487.887	919.614	3514484.5	5405710.5	LOD2	1955	MediumRefurbishment	2463	non-heated	31.8	none	0	RH	39	46.7	0	143	52.3	39	108.9	FALSE	99.5	2.8	2.79	1	2.6	0	0	NO_ROOM	NOT_HEATED	0.2	1.186	31.8	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09
DEBW522AA00018a70	48.790.350.000.000.000	920.624	3515226.21	5405895.77	LOD2	1952	MediumRefurbishment	1010	residential	524.5	none	0	GMH	145.8	433.5	0	673.7	174.1	226	1986	FALSE	1840.2	16.4	10.81	5	3.1	8	18	HEATED	NOT_HEATED	1	0.425	524.5	0.48	15,8	47.1	33035	6021	4263	2650	533	17	0	0	0	73	1355	3931	5884	10.28
DEBW522AA0001871c	4.878.781	920.061	3514813	5405612.11	LOD2	1994	MediumRefurbishment	1010	residential	529.6	none	0	GMH	113.5	379.2	0	552.3	249.9	166.5	1658.3	FALSE	1655	18.4	11.49	7	2.6	8	14	HEATED	NOT_HEATED	0	0.398	529.6	0.45	15,8	38.6	28837	4876	3599	2338	521	16	0	0	0	55	1110	3165	4769	7.33
DEBW522AA00018382	4.878.793	921.321	3515739.47	5405628.29	LOD2	1978	MediumRefurbishment	1010	residential	498.6	none	0	MFH	126	383.1	0	582.3	170.9	188.6	1610.3	FALSE	1558.3	15.4	10.13	6	2.5	6	10	HEATED	NOT_HEATED	0.4	0.442	498.6	0.49	15,8	45.6	30656	5502	3945	2484	516	16	0	0	0	67	1260	3598	5370	8.65
DEBW522AA00018377	4.879.519	921.162	3515620.33	5406435.18	LOD2	1958	MediumRefurbishment	1010	residential	191.7	none	0	EFH	82.4	236.4	0	495.2	0	120.5	681.4	FALSE	599	9.8	6.96	3	2.9	1	4	HEATED	NOT_HEATED	1	0.7030000000000001	191.7	0.47000000000000003	15,8	53.9	13375	2551	1751	1095	264	13	0	0	0	36	521	1581	2527	4.46
DEBW522AA0001830b	4.878.957	920.599	3515208.38	5405809.66	LOD2	1963	MediumRefurbishment	1131	residential	570.4	industry	157.2	MFH	196.5	570.7	0	792.6	37.9	271.9	2470	FALSE	2273.6	15.1	10	5	2.8	9	16	HEATED	NOT_HEATED	1	0.442	727.5	0.5	19,5	31.8	37314	6241	4071	2096	280	6	0	0	0	19	766	3508	6128	13.7
DEBW522AA0001830c	4.878.958	920.586	3515198.23	5405810.97	LOD2	1963	MediumRefurbishment	2120	industry	48.4	none	0	RH	26.3	38.3	0	74.2	75.9	26.3	98.8	FALSE	98.8	3.8	37.800.000.000.000.000	2	1.9	0	0	NO_ROOM	NO_ROOM	0	0.919	48.4	0.41000000000000003	32,9	9.5	2050	160	80	19	1	0	0	0	0	0	2	49	151	1.09
DEBW522AA0001830d	4.878.962	92.058	3515194.49	5405815.17	LOD2	1964	MediumRefurbishment	2723	non-heated	59.6	none	0	RH	32.6	84.1	0	150.1	38.3	32.6	149.5	FALSE	149.5	4.6	45.600.000.000.000.000	2	2.3	0	0	NO_ROOM	NO_ROOM	0	0.998	59.6	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09
DEBW522AA00017f3a	4.878.787	919.409	3514334.24	5405617.92	LOD2	2010	MediumRefurbishment	1010	residential	1057.4	none	0	GMH	182.1	713.3	0	963.6	284.4	217.1	3486.5	FALSE	3304.4	20.9	17.3	7	2.8	17	22	HEATED	NOT_HEATED	1	0.331	1057.4	0.45	15,8	31.1	49644	8099	5734	3679	835	23	0	0	0	66	1554	4971	7935	10.89
DEBW522AA00017d3f	4.879.175	921.331	3515745.53	5406053.31	LOD2	1957	MediumRefurbishment	1010	residential	723.6	none	0	MFH	190.9	452.3	0	752.4	194.4	259.3	2452.1	FALSE	2261.1	15.3	10.52	5	2.9	9	10	HEATED	NOT_HEATED	1	0.387	723.6	0.48	15,8	39.8	40290	6973	5044	3186	638	17	0	0	0	74	1565	4543	6789	11.29
DEBW522AA00017c42	4.878.781	921.325	3515742.38	5405615.35	LOD2	1978	MediumRefurbishment	1010	residential	493.1	none	0	MFH	124.6	256.5	0	407.1	341.4	186.9	1591.8	FALSE	1541.1	15.4	10.13	6	2.5	6	12	HEATED	NOT_HEATED	0.4	0.364	493.1	0.48	15,8	38.8	26947	4682	3340	2065	389	9	0	0	0	43	1019	3022	4567	8.65
DEBW522AA00017c1a	4.879.116	920.448	3515096.76	5405985.46	LOD2	1964	MediumRefurbishment	3041	event location	783	none	0	MFH	310.3	404	0	596.4	103.2	384.4	2757.3	FALSE	2447	11.5	-0.36	4	2.6	0	0	HEATED	NOT_HEATED	1	0.418	783	1.2	non calculated	115.2	90172	18747	14455	11186	4944	867	30	1	4	1613	6845	13206	18275	14.5
DEBW522AA00017c1b	4.879.092	920.424	3515079.47	5405959.41	LOD2	1965	MediumRefurbishment	3044	office and administration	1213	none	0	HH	283.1	879.4	0	993.8	107.2	440.9	3794.4	FALSE	3790.6	32.5	7.51	13	2.5	0	0	HEATED	NOT_HEATED	0	0.423	1213	14.100.000.000.000.000	14,6	121.4	165029	31929	24341	18168	7480	1156	23	0	1	1911	9898	21439	30961	13.51
DEBW522AA00017c1c	487.911	92.042	3515076.45	5405979.26	LOD2	1964	MediumRefurbishment	3044	office and administration	405.7	none	0	RH	237.1	302.1	0	433.4	101.9	237.1	997.2	FALSE	997.2	4.5	4.48	2	2.2	0	0	NO_ROOM	NO_ROOM	0	0.778	405.7	0.4	14,6	57.7	29339	5325	3965	2782	923	97	3	0	1	199	1453	3506	5159	9.78
DEBW522AA00017c1d	4.879.099	920.448	3515096.86	5405966.76	LOD2	1964	MediumRefurbishment	3044	office and administration	121.6	none	0	RH	158.1	159.1	0	337.5	106.9	158.1	538	FALSE	380	3.7	3.66	1	2.7	0	0	NO_ROOM	NOT_HEATED	1	0.98	121.6	0.39	14,6	91.1	12855	2612	1839	1230	393	45	1	0	0	90	660	1661	2549	6.52
DEBW522AA00017c18	48.791	920.489	3515127.11	5405967.91	LOD2	1954	MediumRefurbishment	3065	education	383.5	none	0	EFH	174.9	274.7	0	596.1	0	203.6	1080.4	FALSE	1018.1	7.6	5.09	3	2.4	0	0	HEATED	NOT_HEATED	0.4	0.624	383.5	0.52	24,8	57.2	31446	4898	3647	2544	840	96	5	1	2	233	1497	3354	4804	9.89
DEBW522AA00017b68	4.878.875	921.376	3515779.06	5405719.4	LOD2	1924	MediumRefurbishment	1010	residential	100.3	none	0	RH	46	59.3	0	132	220	59.6	359.4	FALSE	313.4	9.6	6.03	3	2.9	1	4	HEATED	NOT_HEATED	1	0.49	100.3	0.5	15,8	47.2	6327	1150	827	510	102	3	0	0	0	13	254	747	1131	1.75
DEBW522AA00017911	487.881	920.716	3515294.54	5405645.88	LOD2	2004	MediumRefurbishment	3080	hall	28.7	none	0	EFH	35.7	59.7	0	188.2	0	35.7	103	FALSE	89.7	2.9	2.87	1	2.5	0	0	NO_ROOM	NOT_HEATED	0.4	1.359	28.7	0.4	non calculated	113.6	3261	710	524	383	152	22	1	0	0	44	237	490	700	1.09
DEBW522AA00017788	4.879.183	92.124	3515678.18	5406062.02	LOD2	1959	MediumRefurbishment	2523	industry	36	none	0	EFH	38.9	37.2	0	194.2	25.3	38.9	60.4	FALSE	60.4	1.6	1.57	1	1.6	0	0	NO_ROOM	NO_ROOM	0	1.905	36	0.33	32,9	17.4	1810	197	113	44	4	0	0	0	0	0	6	76	187	1.09
DEBW522AA000173c1	4.878.987	920.534	3515160.09	5405842.1	LOD2	2005	MediumRefurbishment	1010	residential	517.6	none	0	GMH	128.7	472.7	0	727	39.4	247.4	1746.1	FALSE	1617.4	17.5	9.52	6	2.7	8	10	HEATED	NOT_HEATED	1	0.509	517.6	0.46	15,8	42.9	30416	5557	3829	2289	450	17	0	0	0	54	1105	3446	5471	11.17
DEBW522AA000173c4	4.878.998	920.525	3515153.83	5405854.48	LOD2	1953	MediumRefurbishment	2112	industry	239	none	0	RH	99.9	248.5	0	435.1	114.6	115	846.8	FALSE	746.9	9.8	6.01	3	2.9	0	0	HEATED	NOT_HEATED	1	0.587	239	0.52	32,9	16.2	11723	1279	661	190	10	0	0	0	0	0	28	469	1233	4.22
DEBW522AA00017289	4.879.116	920.318	3515001.46	5405985.38	LOD2	1974	MediumRefurbishment	1010	residential	427.1	none	0	GMH	110.2	353.8	0	567.3	147.8	181.7	1444.8	FALSE	1334.6	16.3	9.74	6	2.6	7	15	HEATED	NOT_HEATED	1	0.46900000000000003	427.1	0.5	15,8	43.1	25176	4651	3171	1850	345	12	0	0	0	42	895	2864	4582	8.28
DEBW522AA000170c2	4.879.162	92.134	3515751.7	5406038.49	LOD2	1928	MediumRefurbishment	1010	residential	559.1	none	0	MFH	149.6	265.3	0	451.8	387.1	198.8	1870.4	FALSE	1747.1	14.8	10.15	5	2.8	7	13	HEATED	NOT_HEATED	0.8	0.341	559.1	0.47000000000000003	15,8	35.7	28807	4880	3510	2178	402	8	0	0	0	41	1042	3142	4749	9.88
